Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_83,A simulated disease profile for Disease_83 with common medical symptoms and treatments.,"Muscle pain,Dizziness,Fever,Vomiting,Fatigue","Physical distancing,Use protective gear,Vaccination","Paracetamol,Amoxicillin,Azithromycin","200mg every 8 hours,250mg every 6 hours","Severe dehydration,Difficulty breathing","Limit alcohol intake,Hydration,Low-fat diet"
Disease_84,A simulated disease profile for Disease_84 with common medical symptoms and treatments.,"Loss of appetite,Vomiting,Chest pain,Fatigue,Cough","Avoid contact with infected individuals,Maintain hygiene,Vaccination","Omeprazole,Paracetamol,Ibuprofen","200mg every 8 hours,10ml thrice a day","Loss of consciousness,Difficulty breathing","Avoid smoking,Daily exercise,Regular checkups"
Disease_85,A simulated disease profile for Disease_85 with common medical symptoms and treatments.,"Muscle pain,Dizziness,Shortness of breath,Blurred vision,Vomiting","Regular hand washing,Avoid contact with infected individuals,Maintain hygiene","Azithromycin,Amoxicillin,Aspirin","250mg every 6 hours,100mg once daily","Severe dehydration,Loss of consciousness","Daily exercise,Stress management,Regular checkups"
Disease_86,A simulated disease profile for Disease_86 with common medical symptoms and treatments.,"Vomiting,Cough,Fever,Blurred vision,Shortness of breath","Physical distancing,Vaccination,Eat a balanced diet","Cetirizine,Loratadine,Metformin","250mg every 6 hours,100mg once daily","Loss of consciousness,Difficulty breathing","Avoid smoking,Limit alcohol intake,Low-fat diet"
Disease_87,A simulated disease profile for Disease_87 with common medical symptoms and treatments.,"Cough,Dizziness,Vomiting,Loss of appetite,Fatigue","Avoid contact with infected individuals,Eat a balanced diet,Regular hand washing","Loratadine,Paracetamol,Cetirizine","10ml thrice a day,500mg twice a day","Loss of consciousness,Severe chest pain","Regular checkups,Stress management,Hydration"
Disease_88,A simulated disease profile for Disease_88 with common medical symptoms and treatments.,"Fatigue,Cough,Nausea,Fever,Loss of appetite","Avoid spicy food,Vaccination,Drink plenty of water","Paracetamol,Aspirin,Loratadine","250mg every 6 hours,200mg every 8 hours","Uncontrolled bleeding,Difficulty breathing","Stress management,Regular checkups,Avoid smoking"
Disease_89,A simulated disease profile for Disease_89 with common medical symptoms and treatments.,"Rash,Muscle pain,Sore throat,Vomiting,Fatigue","Vaccination,Physical distancing,Use protective gear","Prednisone,Aspirin,Amoxicillin","10ml thrice a day,100mg once daily","High-grade fever,Severe dehydration","Daily exercise,Hydration,Avoid smoking"
Disease_90,A simulated disease profile for Disease_90 with common medical symptoms and treatments.,"Fatigue,Cough,Sore throat,Blurred vision,Muscle pain","Vaccination,Use protective gear,Rest adequately","Loratadine,Paracetamol,Ibuprofen","200mg every 8 hours,100mg once daily","Severe dehydration,Uncontrolled bleeding","Stress management,Adequate sleep,Low-fat diet"
Disease_91,A simulated disease profile for Disease_91 with common medical symptoms and treatments.,"Sore throat,Chest pain,Headache,Nausea,Muscle pain","Maintain hygiene,Avoid contact with infected individuals,Vaccination","Paracetamol,Aspirin,Ibuprofen","10ml thrice a day,500mg twice a day","Severe dehydration,Loss of consciousness","Low-fat diet,Regular checkups,Daily exercise"
Disease_92,A simulated disease profile for Disease_92 with common medical symptoms and treatments.,"Cough,Vomiting,Joint pain,Fever,Nausea","Maintain hygiene,Rest adequately,Avoid contact with infected individuals","Prednisone,Loratadine,Omeprazole","1 tablet after meals,250mg every 6 hours","Loss of consciousness,High-grade fever","Daily exercise,Adequate sleep,Hydration"
Disease_93,A simulated disease profile for Disease_93 with common medical symptoms and treatments.,"Muscle pain,Rash,Loss of appetite,Nausea,Vomiting","Avoid contact with infected individuals,Avoid spicy food,Vaccination","Ibuprofen,Metformin,Prednisone","1 tablet after meals,100mg once daily","Uncontrolled bleeding,Difficulty breathing","Regular checkups,Adequate sleep,Avoid smoking"
Disease_94,A simulated disease profile for Disease_94 with common medical symptoms and treatments.,"Shortness of breath,Muscle pain,Chest pain,Fever,Sore throat","Drink plenty of water,Use protective gear,Regular hand washing","Omeprazole,Metformin,Azithromycin","10ml thrice a day,200mg every 8 hours","High-grade fever,Difficulty breathing","Avoid smoking,Regular checkups,Hydration"
Disease_95,A simulated disease profile for Disease_95 with common medical symptoms and treatments.,"Blurred vision,Chest pain,Shortness of breath,Vomiting,Fever","Regular hand washing,Drink plenty of water,Vaccination","Prednisone,Amoxicillin,Metformin","250mg every 6 hours,200mg every 8 hours","Loss of consciousness,Severe dehydration","Stress management,Avoid smoking,Hydration"
Disease_96,A simulated disease profile for Disease_96 with common medical symptoms and treatments.,"Loss of appetite,Headache,Muscle pain,Sore throat,Rash","Avoid contact with infected individuals,Regular hand washing,Vaccination","Prednisone,Metformin,Loratadine","500mg twice a day,250mg every 6 hours","Difficulty breathing,Severe chest pain","Hydration,Regular checkups,Limit alcohol intake"
Disease_97,A simulated disease profile for Disease_97 with common medical symptoms and treatments.,"Muscle pain,Fever,Cough,Sore throat,Dizziness","Eat a balanced diet,Use protective gear,Avoid spicy food","Amoxicillin,Ibuprofen,Loratadine","200mg every 8 hours,250mg every 6 hours","Severe dehydration,Loss of consciousness","Avoid smoking,Low-fat diet,Hydration"
Disease_98,A simulated disease profile for Disease_98 with common medical symptoms and treatments.,"Vomiting,Dizziness,Joint pain,Chest pain,Loss of appetite","Vaccination,Avoid spicy food,Eat a balanced diet","Azithromycin,Amoxicillin,Cetirizine","1 tablet after meals,250mg every 6 hours","Uncontrolled bleeding,Severe dehydration","Regular checkups,Daily exercise,Avoid smoking"
Disease_99,A simulated disease profile for Disease_99 with common medical symptoms and treatments.,"Blurred vision,Fever,Chest pain,Headache,Loss of appetite","Rest adequately,Avoid contact with infected individuals,Eat a balanced diet","Aspirin,Metformin,Amoxicillin","100mg once daily,10ml thrice a day","Uncontrolled bleeding,Severe chest pain","Limit alcohol intake,Hydration,Low-fat diet"
Disease_100,A simulated disease profile for Disease_100 with common medical symptoms and treatments.,"Nausea,Loss of appetite,Vomiting,Dizziness,Chest pain","Eat a balanced diet,Drink plenty of water,Regular hand washing","Azithromycin,Ibuprofen,Paracetamol","200mg every 8 hours,10ml thrice a day","Loss of consciousness,Severe dehydration","Daily exercise,Hydration,Avoid smoking"
Disease_101,A simulated disease profile for Disease_101 with common medical symptoms and treatments.,"Fatigue,Loss of appetite,Sore throat,Nausea,Chest pain","Use protective gear,Regular hand washing,Drink plenty of water","Cetirizine,Loratadine,Aspirin","1 tablet after meals,100mg once daily","Difficulty breathing,Severe dehydration","Hydration,Stress management,Regular checkups"
Disease_102,A simulated disease profile for Disease_102 with common medical symptoms and treatments.,"Headache,Shortness of breath,Joint pain,Loss of appetite,Fatigue","Vaccination,Regular hand washing,Use protective gear","Ibuprofen,Aspirin,Azithromycin","500mg twice a day,250mg every 6 hours","Difficulty breathing,High-grade fever","Regular checkups,Adequate sleep,Daily exercise"
Disease_103,A simulated disease profile for Disease_103 with common medical symptoms and treatments.,"Sore throat,Fatigue,Fever,Dizziness,Blurred vision","Vaccination,Eat a balanced diet,Regular hand washing","Aspirin,Paracetamol,Ibuprofen","500mg twice a day,200mg every 8 hours","Difficulty breathing,Loss of consciousness","Avoid smoking,Stress management,Regular checkups"
Disease_104,A simulated disease profile for Disease_104 with common medical symptoms and treatments.,"Dizziness,Fatigue,Sore throat,Joint pain,Nausea","Physical distancing,Vaccination,Maintain hygiene","Metformin,Ibuprofen,Amoxicillin","500mg twice a day,10ml thrice a day","Uncontrolled bleeding,Severe chest pain","Avoid smoking,Adequate sleep,Daily exercise"
Disease_105,A simulated disease profile for Disease_105 with common medical symptoms and treatments.,"Dizziness,Chest pain,Headache,Sore throat,Cough","Use protective gear,Physical distancing,Avoid spicy food","Omeprazole,Paracetamol,Prednisone","1 tablet after meals,200mg every 8 hours","High-grade fever,Uncontrolled bleeding","Low-fat diet,Limit alcohol intake,Hydration"
Disease_106,A simulated disease profile for Disease_106 with common medical symptoms and treatments.,"Headache,Fever,Vomiting,Muscle pain,Fatigue","Maintain hygiene,Rest adequately,Regular hand washing","Aspirin,Omeprazole,Paracetamol","500mg twice a day,1 tablet after meals","Severe dehydration,Severe chest pain","Hydration,Adequate sleep,Stress management"
Disease_107,A simulated disease profile for Disease_107 with common medical symptoms and treatments.,"Joint pain,Loss of appetite,Sore throat,Muscle pain,Rash","Drink plenty of water,Physical distancing,Avoid contact with infected individuals","Paracetamol,Metformin,Loratadine","500mg twice a day,200mg every 8 hours","Loss of consciousness,Severe dehydration","Avoid smoking,Stress management,Hydration"
Disease_108,A simulated disease profile for Disease_108 with common medical symptoms and treatments.,"Fever,Muscle pain,Cough,Fatigue,Loss of appetite","Rest adequately,Avoid spicy food,Maintain hygiene","Cetirizine,Paracetamol,Loratadine","100mg once daily,10ml thrice a day","Loss of consciousness,Severe dehydration","Limit alcohol intake,Regular checkups,Hydration"
Disease_109,A simulated disease profile for Disease_109 with common medical symptoms and treatments.,"Nausea,Dizziness,Shortness of breath,Headache,Fatigue","Eat a balanced diet,Drink plenty of water,Avoid contact with infected individuals","Omeprazole,Azithromycin,Ibuprofen","1 tablet after meals,10ml thrice a day","High-grade fever,Severe chest pain","Adequate sleep,Limit alcohol intake,Avoid smoking"
Disease_110,A simulated disease profile for Disease_110 with common medical symptoms and treatments.,"Loss of appetite,Joint pain,Muscle pain,Dizziness,Sore throat","Drink plenty of water,Eat a balanced diet,Vaccination","Prednisone,Metformin,Ibuprofen","100mg once daily,250mg every 6 hours","Loss of consciousness,Uncontrolled bleeding","Limit alcohol intake,Avoid smoking,Stress management"
Disease_111,A simulated disease profile for Disease_111 with common medical symptoms and treatments.,"Headache,Rash,Dizziness,Nausea,Fever","Eat a balanced diet,Maintain hygiene,Physical distancing","Ibuprofen,Cetirizine,Loratadine","10ml thrice a day,250mg every 6 hours","Difficulty breathing,High-grade fever","Low-fat diet,Adequate sleep,Daily exercise"
Disease_112,A simulated disease profile for Disease_112 with common medical symptoms and treatments.,"Sore throat,Chest pain,Blurred vision,Rash,Vomiting","Regular hand washing,Avoid spicy food,Vaccination","Cetirizine,Metformin,Aspirin","200mg every 8 hours,500mg twice a day","Loss of consciousness,Severe chest pain","Limit alcohol intake,Hydration,Avoid smoking"
Disease_113,A simulated disease profile for Disease_113 with common medical symptoms and treatments.,"Rash,Vomiting,Dizziness,Blurred vision,Cough","Use protective gear,Avoid spicy food,Maintain hygiene","Metformin,Amoxicillin,Prednisone","1 tablet after meals,250mg every 6 hours","Uncontrolled bleeding,Difficulty breathing","Limit alcohol intake,Adequate sleep,Daily exercise"
Disease_114,A simulated disease profile for Disease_114 with common medical symptoms and treatments.,"Blurred vision,Fever,Fatigue,Joint pain,Rash","Maintain hygiene,Avoid spicy food,Vaccination","Cetirizine,Omeprazole,Aspirin","100mg once daily,200mg every 8 hours","Severe dehydration,Loss of consciousness","Avoid smoking,Daily exercise,Hydration"
Disease_115,A simulated disease profile for Disease_115 with common medical symptoms and treatments.,"Chest pain,Dizziness,Headache,Cough,Muscle pain","Eat a balanced diet,Vaccination,Maintain hygiene","Azithromycin,Aspirin,Paracetamol","500mg twice a day,10ml thrice a day","Uncontrolled bleeding,Severe dehydration","Daily exercise,Hydration,Limit alcohol intake"
Disease_116,A simulated disease profile for Disease_116 with common medical symptoms and treatments.,"Blurred vision,Vomiting,Dizziness,Sore throat,Rash","Vaccination,Eat a balanced diet,Maintain hygiene","Metformin,Ibuprofen,Omeprazole","10ml thrice a day,500mg twice a day","Difficulty breathing,Loss of consciousness","Hydration,Adequate sleep,Low-fat diet"
Disease_117,A simulated disease profile for Disease_117 with common medical symptoms and treatments.,"Cough,Vomiting,Joint pain,Rash,Fever","Avoid contact with infected individuals,Rest adequately,Eat a balanced diet","Omeprazole,Azithromycin,Loratadine","200mg every 8 hours,500mg twice a day","Uncontrolled bleeding,Severe dehydration","Adequate sleep,Daily exercise,Limit alcohol intake"
Disease_118,A simulated disease profile for Disease_118 with common medical symptoms and treatments.,"Muscle pain,Headache,Nausea,Sore throat,Loss of appetite","Avoid contact with infected individuals,Avoid spicy food,Vaccination","Cetirizine,Paracetamol,Prednisone","500mg twice a day,1 tablet after meals","Difficulty breathing,High-grade fever","Stress management,Hydration,Limit alcohol intake"
